Name,Country,Continent,Age,Height,Weight,Sex,Sport,Event,Medals,Gold,Silver,Bronze
Yohan Blake,Jamaica,Americas,22,180,76,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",YES,,2,
Churandy Martina,Netherlands,Europe,28,178,74,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Antoine Adams,Saint Kitts and Nevis,Americas,23,180,79,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Kim Collins,Saint Kitts and Nevis,Americas,36,173,66,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Rondel Sorrillo,Trinidad and Tobago,Americas,26,172,64,M,Athletics,"Men's 100m, Men's 200m, Men's 4 x 100m Relay",,,,
Nilson Andre,Brazil,Americas,26,172,70,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Justyn Warner,Canada,Americas,25,177,79,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Jimmy Vicaut,France,Europe,20,184,76,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Adam Gemili,Great Britain,Europe,18,,,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Dwain Chambers,Great Britain,Europe,34,,,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
James Dasaolu,Great Britain,Europe,24,186,87,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Asafa Powell,Jamaica,Americas,29,175,78,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Michael Frater,Jamaica,Americas,29,175,75,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Ryota Yamagata,Japan,Asia,20,176,67,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Dariusz Kuc,Poland,Europe,26,176,73,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Jason Rogers,Saint Kitts and Nevis,Americas,20,173,69,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Keston Bledman,Trinidad and Tobago,Americas,24,180,88,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Marc Burns,Trinidad and Tobago,Americas,29,185,88,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Richard Thompson,Trinidad and Tobago,Americas,27,167,77,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Justin Gatlin,United States of America,Americas,30,185,83,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",YES,,,1
Ryan Bailey,United States of America,Americas,23,193,98,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Tyson Gay,United States of America,Americas,29,178,77,M,Athletics,"Men's 100m, Men's 4 x 100m Relay",,,,
Shamar Sands,Bahamas,Americas,27,,,M,Athletics,Men's 110m Hurdles,,,,
Greggmar Swift,Barbados,Americas,21,183,68,M,Athletics,Men's 110m Hurdles,,,,
Ryan Brathwaite,Barbados,Americas,24,185,77,M,Athletics,Men's 110m Hurdles,,,,
Shane Brathwaite,Barbados,Americas,22,182,77,M,Athletics,Men's 110m Hurdles,,,,
Maksim Lynsha,Belarus,Europe,27,190,80,M,Athletics,Men's 110m Hurdles,,,,
Adrien Deghelt,Belgium,Europe,27,185,77,M,Athletics,Men's 110m Hurdles,,,,
Ronald Forbes,Cayman Islands,Americas,27,192,93,M,Athletics,Men's 110m Hurdles,,,,
Paulo Villar,Colombia,Americas,34,183,73,M,Athletics,Men's 110m Hurdles,,,,
Orlando Ortega,Cuba,Americas,21,,,M,Athletics,Men's 110m Hurdles,,,,
Dimitri Bascou,France,Europe,25,182,72,M,Athletics,Men's 110m Hurdles,,,,
Garfield Darien,France,Europe,24,190,80,M,Athletics,Men's 110m Hurdles,,,,
Ladji Doucoure,France,Europe,29,186,78,M,Athletics,Men's 110m Hurdles,,,,
David Ilariani,Georgia,Europe,31,195,87,M,Athletics,Men's 110m Hurdles,,,,
Alexander John,Germany,Europe,26,185,82,M,Athletics,Men's 110m Hurdles,,,,
Erik Balnuweit,Germany,Europe,23,189,80,M,Athletics,Men's 110m Hurdles,,,,
Matthias Buhler,Germany,Europe,25,189,77,M,Athletics,Men's 110m Hurdles,,,,
Andrew Pozzi,Great Britain,Europe,20,190,78,M,Athletics,Men's 110m Hurdles,,,,
Lawrence Clarke,Great Britain,Europe,22,187,78,M,Athletics,Men's 110m Hurdles,,,,
Konstadinos Douvalidis,Greece,Europe,25,184,78,M,Athletics,Men's 110m Hurdles,,,,
Jeffrey Julmis,Haiti,Americas,24,,,M,Athletics,Men's 110m Hurdles,,,,
